time,b1
12/14/2022,1.4463552
12/15/2022,1.4676675
12/16/2022,2.1484554
12/17/2022,2.2211134
12/18/2022,1.8460932
12/19/2022,1.4747173
12/20/2022,1.2943949
12/21/2022,1.2439202
12/22/2022,1.4654157
12/23/2022,2.6660705
12/24/2022,2.795616
12/25/2022,2.3467023
12/26/2022,1.999857
12/27/2022,1.5878185
12/28/2022,1.3613303
12/29/2022,1.364647
12/30/2022,1.4292796
12/31/2022,1.5774728
